"FederalElectoralDivison","Participation","X18.19.years","X20.24.years","X25.29.years","X30.34.years","X35.39.years","X40.44.years","X45.49.years","X50.54.years","X55.59.years","X60.64.years","X65.69.years","X70.74.years","X75.79.years","X80.84.years","X85.years.and.over","Total.Females.b.","Total.Persons"
"Warringah","Participation rate (%)",88.8,85.8,83.2,82.9,81.8,82.9,85.2,86.5,88.1,88.5,90.6,91.2,90.8,88.7,79.7,85.8,83.9
"Watson","Total participants",1231,3538,3359,3631,3564,3544,3788,3670,3558,3152,2711,2141,1722,1335,1398,42342,82280
"Watson","Eligible participants",1533,4559,4510,4920,4798,4651,4857,4625,4376,3837,3177,2486,2048,1674,1885,53936,106914
"Watson","Participation rate (%)",80.3,77.6,74.5,73.8,74.3,76.2,78,79.4,81.3,82.1,85.3,86.1,84.1,79.7,74.2,78.5,77
"Wentworth","Total participants",882,2852,4356,4964,4593,4088,4022,3358,3286,2964,2899,2459,1734,1223,1604,45284,85851
"Wentworth","Eligible participants",1012,3277,5212,6099,5707,5052,4773,3911,3738,3347,3276,2786,1976,1435,2104,53705,103972
"Wentworth","Participation rate (%)",87.2,87,83.6,81.4,80.5,80.9,84.3,85.9,87.9,88.6,88.5,88.3,87.8,85.2,76.2,84.3,82.6
"Werriwa","Total participants",1419,4100,3656,3833,3858,3982,4157,4067,3856,3161,2503,1723,1332,829,735,43211,83695
"Werriwa","Eligible participants",1917,5662,5242,5522,5509,5546,5535,5214,4866,3929,2978,2075,1608,1023,1002,57628,112977
"Werriwa","Participation rate (%)",74,72.4,69.7,69.4,70,71.8,75.1,78,79.2,80.5,84,83,82.8,81,73.4,75,74.1
"Whitlam","Total participants",1389,3337,3123,3217,3180,3563,3972,4041,4415,4230,4127,3762,2808,1860,1678,48702,92717
"Whitlam","Eligible participants",1751,4483,4226,4299,4266,4587,4914,4910,5139,4776,4612,4139,3126,2168,2095,59491,115781
"Whitlam","Participation rate (%)",79.3,74.4,73.9,74.8,74.5,77.7,80.8,82.3,85.9,88.6,89.5,90.9,89.8,85.8,80.1,81.9,80.1
"New South Wales (Total)","Total participants",57345,153549,153718,160855,162711,171415,187089,181995,192455,179082,166004,138350,98810,70583,74012,2147973,4122236
"New South Wales (Total)","Eligible participants",71646,201716,204377,215120,216203,220718,232767,220482,226306,205641,186263,153681,111061,81879,93521,2641383,5187681
"New South Wales (Total)","Participation rate (%)",80,76.1,75.2,74.8,75.3,77.7,80.4,82.5,85,87.1,89.1,90,89,86.2,79.1,81.3,79.5
"Aston","Total participants",1204,3590,3156,2874,3038,3152,3769,3807,3888,3540,3077,2269,1679,1080,1022,41145,78419
"Aston","Eligible participants",1395,4396,3921,3593,3809,3910,4513,4447,4523,4016,3454,2567,1919,1279,1328,49070,96083
"Aston","Participation rate (%)",86.3,81.7,80.5,80,79.8,80.6,83.5,85.6,86,88.1,89.1,88.4,87.5,84.4,77,83.8,81.6
"Ballarat","Total participants",1309,3575,3436,3458,3584,3866,4382,4250,4546,4283,4161,3258,2180,1587,1521,49396,93351
"Ballarat","Eligible participants",1565,4668,4466,4412,4512,4741,5247,4952,5199,4823,4588,3603,2405,1807,1969,58957,114274
"Ballarat","Participation rate (%)",83.6,76.6,76.9,78.4,79.4,81.5,83.5,85.8,87.4,88.8,90.7,90.4,90.6,87.8,77.2,83.8,81.7
"Batman","Total participants",977,3876,4988,5169,4972,4613,4749,3987,3627,3114,2634,2249,1823,1525,1528,49831,93576
"Batman","Eligible participants",1131,4532,5813,6010,5782,5360,5519,4614,4115,3510,2964,2571,2133,1851,2055,57960,111477
"Batman","Participation rate (%)",86.4,85.5,85.8,86,86,86.1,86,86.4,88.1,88.7,88.9,87.5,85.5,82.4,74.4,86,83.9
"Bendigo","Total participants",1256,3370,3271,3306,3339,3710,4119,4139,4587,4480,4278,3371,2414,1645,1606,48891,92597
"Bendigo","Eligible participants",1505,4368,4188,4164,4118,4542,4835,4817,5206,4992,4663,3674,2646,1870,2051,57639,111957
"Bendigo","Participation rate (%)",83.5,77.2,78.1,79.4,81.1,81.7,85.2,85.9,88.1,89.7,91.7,91.8,91.2,88,78.3,84.8,82.7
"Bruce","Total participants",922,2719,2412,2320,2461,2743,3182,3190,3321,3168,3252,2888,2328,1567,1497,37970,74104
"Bruce","Eligible participants",1163,3582,3287,3301,3383,3651,4085,3962,4018,3754,3756,3292,2664,1880,1929,47707,95365
"Bruce","Participation rate (%)",79.3,75.9,73.4,70.3,72.7,75.1,77.9,80.5,82.7,84.4,86.6,87.7,87.4,83.4,77.6,79.6,77.7
"Calwell","Total participants",1390,4300,3713,3546,3445,3609,4403,4544,4278,3536,3055,2276,1442,960,717,45214,87993
"Calwell","Eligible participants",1708,5441,4933,4774,4578,4627,5505,5513,5038,4120,3575,2623,1730,1175,986,56326,111581
"Calwell","Participation rate (%)",81.4,79,75.3,74.3,75.3,78,80,82.4,84.9,85.8,85.5,86.8,83.4,81.7,72.7,80.3,78.9
"Casey","Total participants",1259,3444,3668,3770,3509,3688,4249,4147,4131,3862,3656,2904,1783,1138,1098,46306,88419
"Casey","Eligible participants",1437,4195,4388,4576,4196,4390,4969,4725,4690,4311,3994,3183,1990,1309,1372,53725,105226
"Casey","Participation rate (%)",87.6,82.1,83.6,82.4,83.6,84,85.5,87.8,88.1,89.6,91.5,91.2,89.6,86.9,80,86.2,84
"Chisholm","Total participants",1263,3536,2793,2583,2915,3191,4062,3553,3527,3087,2845,2615,2441,1986,2142,42539,80563
"Chisholm","Eligible participants",1472,4265,3448,3394,3713,3898,4793,4186,4032,3509,3172,2930,2751,2304,2666,50533,97751
"Chisholm","Participation rate (%)",85.8,82.9,81,76.1,78.5,81.9,84.7,84.9,87.5,88,89.7,89.2,88.7,86.2,80.3,84.2,82.4
"Corangamite","Total participants",1304,3516,3371,3831,3909,4142,4479,4203,4529,4558,4348,3357,2323,1623,1863,51356,97757
"Corangamite","Eligible participants",1482,4247,4044,4540,4655,4929,5173,4708,5100,5031,4743,3687,2560,1866,2287,59052,114880
"Corangamite","Participation rate (%)",88,82.8,83.4,84.4,84,84,86.6,89.3,88.8,90.6,91.7,91,90.7,87,81.5,87,85.1
"Corio","Total participants",1222,3744,3753,3628,3351,3691,4019,4154,4373,4293,4130,3337,2404,1685,1641,49425,92882
"Corio","Eligible participants",1406,4646,4679,4409,4085,4427,4680,4777,4960,4768,4502,3702,2701,1971,2089,57802,111137
