"FederalElectoralDivison","Participation","X18.19.years","X20.24.years","X25.29.years","X30.34.years","X35.39.years","X40.44.years","X45.49.years","X50.54.years","X55.59.years","X60.64.years","X65.69.years","X70.74.years","X75.79.years","X80.84.years","X85.years.and.over","Total.Males.b.","Total.Persons"
"Casey","Eligible participants",1369,4298,4441,4303,4087,4238,4571,4317,4439,4034,3555,2985,1849,1093,882,50461,105226
"Casey","Participation rate (%)",79.5,76.2,74.7,75.9,77.6,77.2,80,83.2,85,87,90.1,90.9,89.9,90.2,82.4,81.7,84
"Chisholm","Total participants",1056,3242,2835,2788,2712,2990,3507,3311,3109,2667,2366,2057,1826,1541,1418,37425,80563
"Chisholm","Eligible participants",1306,4232,3831,3878,3690,3856,4321,4030,3742,3099,2694,2320,2026,1762,1712,46499,97751
"Chisholm","Participation rate (%)",80.9,76.6,74,71.9,73.5,77.5,81.2,82.2,83.1,86.1,87.8,88.7,90.1,87.5,82.8,80.5,82.4
"Corangamite","Total participants",1160,3246,3078,3307,3429,3778,3851,3623,4007,4195,3981,3193,2097,1369,1106,45420,97757
"Corangamite","Eligible participants",1420,4338,4092,4252,4376,4739,4710,4309,4683,4783,4408,3484,2304,1529,1286,54713,114880
"Corangamite","Participation rate (%)",81.7,74.8,75.2,77.8,78.4,79.7,81.8,84.1,85.6,87.7,90.3,91.6,91,89.5,86,83,85.1
"Corio","Total participants",1060,3208,3220,3015,2971,3125,3511,3620,3733,3781,3666,3003,2093,1377,1114,42497,92882
"Corio","Eligible participants",1323,4387,4417,4066,3927,4093,4336,4401,4394,4269,4057,3324,2325,1589,1335,52243,111137
"Corio","Participation rate (%)",80.1,73.1,72.9,74.2,75.7,76.3,81,82.3,85,88.6,90.4,90.3,90,86.7,83.4,81.3,83.6
"Deakin","Total participants",983,2959,2758,3010,3295,3568,3605,3305,3187,2826,2621,2534,1809,1311,1182,38953,84713
"Deakin","Eligible participants",1198,3775,3670,3950,4211,4452,4428,3963,3722,3240,2915,2765,1995,1475,1426,47185,100102
"Deakin","Participation rate (%)",82.1,78.4,75.1,76.2,78.2,80.1,81.4,83.4,85.6,87.2,89.9,91.6,90.7,88.9,82.9,82.6,84.6
"Dunkley","Total participants",985,2860,2841,2873,2903,3176,3557,3352,3452,3293,3147,2923,2072,1357,1109,39900,87596
"Dunkley","Eligible participants",1257,3973,4044,3976,3924,4200,4555,4202,4221,3805,3575,3273,2299,1535,1316,50155,106918
"Dunkley","Participation rate (%)",78.4,72,70.3,72.3,74,75.6,78.1,79.8,81.8,86.5,88,89.3,90.1,88.4,84.3,79.6,81.9
"Flinders","Total participants",977,2761,2627,2513,2726,3097,3685,3615,4180,4333,4574,4153,2922,1788,1491,45442,97902
"Flinders","Eligible participants",1290,3938,3756,3561,3709,4256,4796,4642,5081,5073,5186,4624,3251,2067,1781,57011,119309
"Flinders","Participation rate (%)",75.7,70.1,69.9,70.6,73.5,72.8,76.8,77.9,82.3,85.4,88.2,89.8,89.9,86.5,83.7,79.7,82.1
"Gellibrand","Total participants",887,3054,3599,4385,4501,4324,4106,3615,3690,2983,2538,2029,1489,1108,977,43286,91388
"Gellibrand","Eligible participants",1091,3988,4772,5715,5802,5419,5155,4518,4454,3581,2943,2333,1719,1320,1235,54046,111159
"Gellibrand","Participation rate (%)",81.3,76.6,75.4,76.7,77.6,79.8,79.7,80,82.8,83.3,86.2,87,86.6,83.9,79.1,80.1,82.2
"Gippsland","Total participants",844,2399,2292,2414,2340,2545,2920,3281,3990,4213,4517,3635,2504,1439,1113,40446,85444
"Gippsland","Eligible participants",1130,3791,3569,3576,3353,3513,3902,4104,4802,4891,5038,4015,2734,1615,1302,51335,105814
"Gippsland","Participation rate (%)",74.7,63.3,64.2,67.5,69.8,72.4,74.8,79.9,83.1,86.1,89.7,90.5,91.6,89.1,85.5,78.8,80.7
"Goldstein","Total participants",1222,3300,2647,2481,2712,3445,4273,4210,4043,3601,3119,2719,1733,1227,1308,42040,91627
"Goldstein","Eligible participants",1448,4019,3292,3184,3424,4261,5153,4868,4659,4060,3526,3013,1896,1367,1608,49778,106484
"Goldstein","Participation rate (%)",84.4,82.1,80.4,77.9,79.2,80.8,82.9,86.5,86.8,88.7,88.5,90.2,91.4,89.8,81.3,84.5,86
"Gorton","Total participants",1148,3683,3604,4282,4781,4815,4428,3749,3573,3334,3017,2068,1182,586,318,44568,93768
"Gorton","Eligible participants",1531,5286,5272,6176,6722,6525,5801,4820,4425,4025,3528,2409,1359,704,415,58998,121247
"Gorton","Participation rate (%)",75,69.7,68.4,69.3,71.1,73.8,76.3,77.8,80.7,82.8,85.5,85.8,87,83.2,76.6,75.5,77.3
"Higgins","Total participants",973,3268,4369,4222,3566,3323,3736,3352,3317,2794,2633,2193,1652,1068,997,41463,89614
